section,trip_no,error
兴海南路-梅堰,89,兴海南路-梅堰 trip 89 has no matching segment rows.
兴海南路-梅堰,90,兴海南路-梅堰 trip 90 has no matching segment rows.
兴海南路-梅堰,91,兴海南路-梅堰 trip 91 has no matching segment rows.
兴海南路-梅堰,92,兴海南路-梅堰 trip 92 has no matching segment rows.
兴海南路-梅堰,93,兴海南路-梅堰 trip 93 has no matching segment rows.
兴海南路-梅堰,94,兴海南路-梅堰 trip 94 has no matching segment rows.
兴海南路-梅堰,95,兴海南路-梅堰 trip 95 has no matching segment rows.
兴海南路-梅堰,96,兴海南路-梅堰 trip 96 has no matching segment rows.
兴海南路-梅堰,97,兴海南路-梅堰 trip 97 has no matching segment rows.
兴海南路-梅堰,98,兴海南路-梅堰 trip 98 has no matching segment rows.
兴海南路-梅堰,99,兴海南路-梅堰 trip 99 has no matching segment rows.
兴海南路-梅堰,100,兴海南路-梅堰 trip 100 has no matching segment rows.
兴海南路-梅堰,101,兴海南路-梅堰 trip 101 has no matching segment rows.
兴海南路-梅堰,102,兴海南路-梅堰 trip 102 has no matching segment rows.
兴海南路-梅堰,103,兴海南路-梅堰 trip 103 has no matching segment rows.
兴海南路-梅堰,104,兴海南路-梅堰 trip 104 has no matching segment rows.
兴海南路-梅堰,105,兴海南路-梅堰 trip 105 has no matching segment rows.
兴海南路-梅堰,106,兴海南路-梅堰 trip 106 has no matching segment rows.
兴海南路-梅堰,107,兴海南路-梅堰 trip 107 has no matching segment rows.
兴海南路-梅堰,108,兴海南路-梅堰 trip 108 has no matching segment rows.
兴海南路-梅堰,109,兴海南路-梅堰 trip 109 has no matching segment rows.
兴海南路-梅堰,110,兴海南路-梅堰 trip 110 has no matching segment rows.
兴海南路-梅堰,111,兴海南路-梅堰 trip 111 has no matching segment rows.
兴海南路-梅堰,112,兴海南路-梅堰 trip 112 has no matching segment rows.
兴海南路-梅堰,113,兴海南路-梅堰 trip 113 has no matching segment rows.
兴海南路-梅堰,114,兴海南路-梅堰 trip 114 has no matching segment rows.
兴海南路-梅堰,115,兴海南路-梅堰 trip 115 has no matching segment rows.
兴海南路-梅堰,116,兴海南路-梅堰 trip 116 has no matching segment rows.
兴海南路-梅堰,117,兴海南路-梅堰 trip 117 has no matching segment rows.
兴海南路-梅堰,118,兴海南路-梅堰 trip 118 has no matching segment rows.
兴海南路-梅堰,119,兴海南路-梅堰 trip 119 has no matching segment rows.
兴海南路-梅堰,120,兴海南路-梅堰 trip 120 has no matching segment rows.
兴海南路-梅堰,121,兴海南路-梅堰 trip 121 has no matching segment rows.
兴海南路-梅堰,122,兴海南路-梅堰 trip 122 has no matching segment rows.
