section_index,section,segment,trip_no,run_id,quality_labels,row_count,speed_source,avg_speed_kmh,cruise_avg_speed_kmh,cruise_point_count,cruise_min_speed_ratio,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,xlsx_file,warning
1,布政-张家潭,0,1,07/0170100,0,2351,mps,43.73,64.01,1050,0.92,65.25,65,64.51,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,1,2,07/0170101,0,2271,mps,45.29,73.37,177,0.92,75.59,75.46,72.69,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,2,3,07/0170102,0,2350,mps,43.76,62.8,1042,0.92,64.57,64.37,63.13,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,3,4,07/0170103,0,2352,mps,43.74,63.85,1088,0.92,65.65,65.41,64.27,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,4,5,07/0170104,0,2327,mps,44.2,64,1030,0.92,64.9,64.77,64.36,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,5,6,07/0170105,0,2347,mps,43.82,62.74,1096,0.92,64.77,64.5,63.25,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,6,7,07/0170106,0,2354,mps,43.69,63.94,1087,0.92,65.58,65.33,64.41,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,7,8,07/0170107,1,2327,mps,44.24,64.02,1033,0.92,65.52,65.24,64.51,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,8,9,07/0270208,0,2335,mps,44.04,63.94,1052,0.92,65.57,65.36,64.42,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,9,10,07/0270209,0,2352,mps,43.73,63.89,1094,0.92,64.85,64.76,64.44,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,10,11,07/0270210,0,2329,mps,44.16,63.92,1051,0.92,65.62,65.41,64.47,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,11,12,07/0270211,0,2327,mps,44.18,63.93,1044,0.92,64.97,64.83,64.44,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,12,13,07/0270212,0,2268,mps,45.35,73.48,178,0.92,75.66,75.55,72.8,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,13,14,07/0270213,0,2279,mps,45.12,73.49,176,0.92,75.65,75.58,72.76,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,14,15,07/0270214,1,2350,mps,43.76,62.72,1087,0.92,64.74,64.52,63.21,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,15,16,07/0370315,0,2338,mps,43.98,64,1038,0.92,65.71,65.35,64.43,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,16,17,07/0370316,0,2320,mps,44.31,63.94,1040,0.92,64.78,64.69,64.35,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,17,18,07/0370317,0,2329,mps,44.14,63.88,1057,0.92,64.71,64.64,64.35,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,18,19,07/0370318,0,2323,mps,44.27,65.11,1054,0.92,66.14,65.88,65.62,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,19,20,07/0370319,0,2330,mps,44.13,63.83,1066,0.92,65.52,65.32,64.28,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,20,21,07/0370320,0,2318,mps,44.36,64.02,1060,0.92,65.46,65.25,64.46,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,21,22,07/0370321,0,2348,mps,43.81,63.88,1087,0.92,65.36,65.21,64.31,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,22,23,07/0370322,1,2247,mps,45.71,68.87,196,0.92,71.3,70.86,68.64,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,23,24,07/0470423,0,2337,mps,44.01,62.63,1104,0.92,64.51,64.28,63.12,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,24,25,07/0470424,0,2334,mps,44.06,63.72,1063,0.92,65.13,64.95,64.13,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,25,26,07/0470425,0,2283,mps,45.02,72.98,181,0.92,75.08,74.97,72.38,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,26,27,07/0570526,0,2403,mps,42.79,62.65,1127,0.92,64.32,64.05,62.97,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,27,28,07/0570527,0,2358,mps,43.63,63.86,1088,0.92,64.49,64.38,64.19,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,28,29,07/0570528,0,2329,mps,44.14,63.69,1066,0.92,65.11,64.92,63.97,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,29,30,07/0570529,0,2367,mps,43.46,62.66,1114,0.92,64.09,63.83,62.94,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,30,31,07/0570530,0,2355,mps,43.66,62.52,1109,0.92,63.69,63.47,62.79,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,31,32,07/0570531,0,2338,mps,43.98,63.75,1065,0.92,65.27,65.01,64.07,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,32,33,07/0570532,1,2398,mps,42.9,60.46,1176,0.92,62.27,61.92,60.66,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,33,34,07/0670633,0,2364,mps,43.51,62.6,1111,0.92,64.28,64.02,63.19,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,34,35,07/0670634,0,2354,mps,43.69,63.84,1088,0.92,64.31,64.23,64.16,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,35,36,07/0670635,0,2331,mps,44.11,63.7,1066,0.92,65.21,65.02,64.07,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,36,37,07/0670636,0,2381,mps,43.2,62.65,1120,0.92,64.12,63.8,62.85,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,37,38,07/0670637,0,2379,mps,43.22,62.66,1119,0.92,64.05,63.82,62.92,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,38,39,07/0670638,0,2353,mps,43.73,63.92,1081,0.92,65.22,64.99,64.18,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,39,40,07/0670639,0,2380,mps,43.22,62.56,1123,0.92,63.79,63.52,62.83,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,40,41,07/0670640,1,2348,mps,43.83,62.84,708,0.92,66.39,66.02,64.54,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,41,42,07/0870841,0,2337,mps,44.69,64.88,1063,0.92,66.68,66.44,65.37,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,42,43,07/0870842,0,2347,mps,44.54,64.93,1075,0.92,66.68,66.4,65.43,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,43,44,07/0870843,0,2378,mps,43.93,63.68,1121,0.92,65.53,65.16,64.18,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,44,45,07/0870844,0,2369,mps,44.11,63.61,1118,0.92,65.5,65.21,64.13,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,45,46,07/0870845,0,2352,mps,44.43,63.66,1097,0.92,65.54,65.22,64.13,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,46,47,07/0870846,0,2295,mps,45.52,67.38,997,0.92,68.37,68.27,68.09,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,47,48,07/0870847,1,2335,mps,44.73,63.7,1092,0.92,65.55,65.27,64.2,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,48,49,07/0970948,0,2339,mps,44.67,64.79,1061,0.92,66.83,66.6,65.31,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,49,50,07/0970949,0,2317,mps,45.09,64.9,1065,0.92,66.45,66.23,65.46,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,50,51,07/0970950,0,2327,mps,44.9,65.06,1032,0.92,66.65,66.37,65.47,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,51,52,07/0970951,0,2289,mps,45.63,67.59,983,0.92,68.4,68.35,68.26,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,52,53,07/0970952,0,2347,mps,44.49,64.84,1074,0.92,66.56,66.29,65.34,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,53,54,07/0970953,0,2320,mps,45.02,64.91,1070,0.92,66.6,66.36,65.44,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,54,55,07/0970954,0,2325,mps,44.95,65.06,1034,0.92,65.89,65.81,65.56,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,55,56,07/0970955,1,2263,mps,46.15,73.3,216,0.92,75.36,75.22,73.74,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,56,57,07/1071056,0,2357,mps,44.33,64.88,1087,0.92,66.5,66.29,65.36,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,57,58,07/1071057,0,2332,mps,44.79,64.83,1062,0.92,66.22,65.95,65.22,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,58,59,07/1071058,0,2334,mps,44.77,64.7,1077,0.92,66.29,65.98,65.02,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,59,60,07/1071059,1,2390,mps,43.69,68.48,177,0.92,71.13,70.67,67.35,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,60,61,07/1571560,0,2377,mps,43.3,62.61,1107,0.92,64.33,64.03,63.09,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,61,62,07/1571561,0,2291,mps,44.89,73.01,180,0.92,75.17,75.04,72.37,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,62,63,07/1571562,0,2361,mps,43.56,63.88,1074,0.92,65.43,65.13,64.17,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,63,64,07/1571563,0,2358,mps,43.65,63.75,1081,0.92,65,64.92,63.97,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,64,65,07/1571564,0,2348,mps,43.81,63.8,1074,0.92,65.06,64.85,64.14,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,65,66,07/1571565,0,2337,mps,44.01,65.19,1041,0.92,66.21,65.87,65.51,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,66,67,07/1671666,0,2338,mps,43.99,63.77,1066,0.92,65.1,64.91,64.08,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,67,68,07/1671667,0,2324,mps,44.25,63.84,1062,0.92,65.21,65.02,64.15,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,68,69,07/1671668,0,2343,mps,43.9,65.03,1043,0.92,66.29,65.86,65.34,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,69,70,07/1671669,0,2341,mps,43.95,63.93,1079,0.92,65.21,65,64.2,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,70,71,07/1671670,0,2345,mps,43.87,65.12,1050,0.92,65.77,65.63,65.5,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,71,72,07/1671671,0,2326,mps,44.21,65.03,1034,0.92,65.71,65.62,65.47,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,72,73,07/1671672,1,2345,mps,43.89,63.78,1080,0.92,65.25,65.04,64.15,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,73,74,07/1771773,0,2369,mps,43.42,62.71,1122,0.92,64.27,63.95,63.21,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
