站间区间,趟次,segment,日期+服务号,服务号,车底号,方向,时段,开始时刻(s),结束时刻(s),历史运行时间(s),历史停站时间(s),历史累计用时含停站(s),区间距离(m),站间距(m),平均速度(km/h),最高速度(km/h),速度点平均(km/h),速度采样点数,巡航平均速度(km/h),巡航点数,P95速度(km/h),P99速度(km/h),历史实测能耗(Wh),平均重量(t),运行等级,是否晚上八点后,曲线质量标签,源文件
布政-张家潭,34,33,07/0670633,70633,5014,UP,双休日低峰,0.0,118.15,118.15,30.0,148.15,1428.62,1428.0,43.53,64.28,43.51,2364,62.6,1111,63.19,64.02,14500.54,215.24,4,0,0,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx
张家潭-同德路,34,33,07/0670633,70633,5014,UP,双休日低峰,0.0,152.5,152.5,30.0,182.5,2019.99,2017.0,47.68,63.97,47.67,3051,62.68,1810,63.37,63.67,18171.59,215.34,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx
同德路-石碶,34,33,07/0670633,70633,5014,UP,双休日低峰,0.0,110.5,110.5,30.0,140.5,1330.31,1332.0,43.34,69.45,43.32,2211,67.94,834,68.5,69.2,14216.71,215.74,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx
石碶-雅渡,34,33,07/0670633,70633,5014,UP,双休日低峰,0.0,81.85,81.85,30.0,111.85,827.05,827.0,36.38,71.59,36.35,1638,69.61,240,70.29,71.49,11828.44,216.04,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx
雅渡-庙堰,34,33,07/0670633,70633,5014,UP,双休日低峰,0.0,131.1,131.1,30.0,161.1,1859.6,1860.0,51.06,76.32,51.05,2623,75.05,1152,75.44,76.1,21726.97,216.34,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx
庙堰-钟公庙,34,33,07/0670633,70633,5014,UP,双休日低峰,0.0,95.4,95.4,30.0,125.4,1086.9,1086.0,41.02,70.48,40.99,1909,68.26,551,68.46,70.3,13603.52,216.44,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx
钟公庙-鄞州区政府,34,33,07/0670633,70633,5014,UP,双休日低峰,0.0,90.0,90.0,30.0,120.0,984.5,984.0,39.38,76.14,39.36,1801,73.45,143,72.62,75.93,13401.39,217.02,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx
鄞州区政府-钱湖南路,34,33,07/0670633,70633,5014,UP,双休日低峰,0.0,127.9,127.9,30.0,157.9,1811.48,1811.0,50.99,77.22,50.97,2559,76.74,1052,77.11,77.15,18429.85,217.22,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_鄞州区政府-钱湖南路.xlsx
钱湖南路-南高教园区,34,33,07/0670633,70633,5014,UP,双休日低峰,0.0,97.75,97.75,30.0,127.75,1168.54,1155.0,43.04,77.13,43.01,1956,76.26,465,76.96,77.04,15140.98,217.04,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_钱湖南路-南高教园区.xlsx
南高教园区-下应路,34,33,07/0670633,70633,5014,UP,双休日低峰,0.0,111.45,111.45,30.0,141.45,1452.24,1452.0,46.91,77.23,46.89,2230,76.65,718,77.15,77.18,21032.64,217.24,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_南高教园区-下应路.xlsx
下应路-大洋江,34,33,07/0670633,70633,5014,UP,双休日低峰,0.0,102.3,102.3,30.0,132.3,1213.61,1214.0,42.71,71.55,42.69,2047,70.86,644,71.28,71.5,14080.48,217.62,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_下应路-大洋江.xlsx
大洋江-泗港,34,33,07/0670633,70633,5014,UP,双休日低峰,0.0,91.05,91.05,30.0,121.05,958.38,957.0,37.89,62.7,37.87,1822,60.82,618,61.38,62.49,11972.28,217.6,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_大洋江-泗港.xlsx
泗港-曹隘,34,33,07/0670633,70633,5014,UP,双休日低峰,0.0,135.0,135.0,30.0,165.0,1798.98,1798.0,47.97,77.27,47.95,2701,76.38,936,77.04,77.11,22852.55,217.9,4,0,0,data\data_processed_step2_v3_all_curve_quality\results_泗港-曹隘.xlsx
曹隘-柳隘,34,33,07/0670633,70633,5014,UP,双休日低峰,0.0,107.15,107.15,30.0,137.15,1307.85,1307.0,43.94,75.59,43.92,2144,73.29,461,74.27,75.38,21136.4,217.9,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_曹隘-柳隘.xlsx
柳隘-海晏北路,34,33,07/0670633,70633,5014,UP,双休日低峰,0.0,89.35,89.35,30.0,119.35,981.2,980.0,39.53,75.79,39.51,1788,73.06,359,73.39,75.66,14775.81,218.1,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_柳隘-海晏北路.xlsx
海晏北路-民安东路,34,33,07/0670633,70633,5014,UP,双休日低峰,0.0,84.15,84.15,30.0,114.15,865.29,865.0,37.02,72.28,37.0,1684,69.68,248,70.77,72.24,14993.3,216.14,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_海晏北路-民安东路.xlsx
民安东路-会展中心,34,33,07/0670633,70633,5014,UP,双休日低峰,0.0,77.4,77.4,30.0,107.4,726.05,724.0,33.77,67.52,33.75,1549,66.0,206,67.18,67.43,12026.43,215.94,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_民安东路-会展中心.xlsx
会展中心-院士路,34,33,07/0670633,70633,5014,UP,双休日低峰,0.0,114.95,114.95,30.0,144.95,1552.25,1562.0,48.61,77.09,48.59,2300,76.5,833,77.0,77.04,14682.18,215.84,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_会展中心-院士路.xlsx
院士路-盎孟港,34,33,07/0670633,70633,5014,UP,双休日低峰,0.0,91.6,91.6,30.0,121.6,994.53,994.0,39.09,77.19,39.06,1833,75.42,261,76.91,77.06,19685.49,215.64,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_院士路-盎孟港.xlsx
盎孟港-三官堂,34,33,07/0670633,70633,5014,UP,双休日低峰,0.0,131.3,131.3,30.0,161.3,1879.79,1877.0,51.54,76.72,51.52,2627,75.96,1144,76.36,76.48,19124.51,215.44,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_盎孟港-三官堂.xlsx
三官堂-兴庄路,34,33,07/0670633,70633,5014,UP,双休日低峰,0.0,98.65,98.65,30.0,128.65,1080.29,1081.0,39.42,62.07,39.4,1974,61.41,714,61.94,62.01,11443.89,215.44,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_三官堂-兴庄路.xlsx
兴庄路-兴海南路,34,33,07/0670633,70633,5014,UP,双休日低峰,0.0,91.2,91.2,30.0,121.2,958.41,958.0,37.83,62.05,37.81,1825,60.38,624,60.77,61.75,11726.51,215.54,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_兴庄路-兴海南路.xlsx
兴海南路-梅堰,34,33,07/0670633,70633,5014,UP,双休日低峰,0.0,81.35,81.35,30.0,111.35,834.7,833.0,36.94,74.77,36.92,1628,72.57,197,73.51,74.63,11872.48,215.54,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_兴海南路-梅堰.xlsx
梅堰-永茂路,34,33,07/0870833,70833,5012,UP,工作日平峰,0.0,329.65,329.65,30.0,359.65,3734.28,3676.0,40.78,58.67,40.77,6594,56.27,2076,56.57,56.72,25954.07,215.24,4,0,0,data\data_processed_step2_v3_all_curve_quality\results_梅堰-永茂路.xlsx
永茂路-镇海大道,34,33,07/0670633,70633,5014,UP,双休日低峰,0.0,143.0,143.0,30.0,173.0,2132.55,2131.0,53.69,77.2,53.67,2861,76.73,1332,77.09,77.12,17086.43,215.44,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_永茂路-镇海大道.xlsx
镇海大道-骆驼桥,34,33,07/0670633,70633,5014,UP,双休日平峰,0.0,117.9,117.9,0.0,117.9,1596.4,1593.0,48.75,77.32,48.72,2359,76.77,862,77.19,77.24,19905.73,215.34,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_镇海大道-骆驼桥.xlsx
--- 总计 ---,,,,,,,,,,3002.6,750.0,3752.6,36583.79,36502.0,43.86,77.32,,,,,,,425371.17,...,,,,
