station_pair,class,target_time(s),energy(Wh),dwell_time(s)
布政-张家潭,class3,115.0,13199.785618050471,30.0
张家潭-同德路,class3,151.0,17107.453960176743,30.0
同德路-石碶,class2,104.0,13215.191204177516,30.0
石碶-雅渡,class3,82.0,10200.488191527584,30.0
雅渡-庙堰,class2,129.0,20728.065301787537,30.0
庙堰-钟公庙,class2,93.0,12707.359585834016,30.0
钟公庙-鄞州区政府,class3,90.0,8743.219038800016,30.0
鄞州区政府-钱湖南路,class2,128.0,16858.591404038627,30.0
钱湖南路-南高教园区,class2,96.0,14404.39525815065,30.0
南高教园区-下应路,class2,110.0,17938.767231454316,30.0
下应路-大洋江,class2,101.0,12536.073062861304,30.0
大洋江-泗港,class3,92.0,10349.119189629517,30.0
泗港-曹隘,class2,128.0,25169.67650440282,30.0
曹隘-柳隘,class2,106.0,15077.300648904618,30.0
柳隘-海晏北路,class2,87.0,12367.59017558951,30.0
海晏北路-民安东路,class2,83.0,13246.114895678693,30.0
民安东路-会展中心,class2,76.0,9009.488018492504,30.0
会展中心-院士路,class2,112.0,14804.69786070494,30.0
院士路-盎孟港,class2,88.0,15614.10040609029,30.0
盎孟港-三官堂,class2,132.0,16274.204332775424,30.0
三官堂-兴庄路,class3,104.0,11081.944775046091,30.0
兴庄路-兴海南路,class3,91.0,10984.601714531353,30.0
兴海南路-梅堰,class2,78.0,12410.124606321417,30.0
梅堰-永茂路,class2,298.0,29884.115963732544,30.0
永茂路-镇海大道,class2,141.0,15572.80811176859,30.0
镇海大道-骆驼桥,class3,122.0,16342.136173871277,0.0
