站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.34,0.0
张家潭,08:01:52,08:02:22,Class2,112,215.24,-0.1
同德路,08:04:50,08:05:20,Class2,148,215.34,0.1
石碶,08:07:04,08:07:34,Class2,104,216.62,1.28
雅渡,08:08:56,08:09:26,Class3,82,222.3,5.68
庙堰,08:11:35,08:12:05,Class2,129,215.84,-6.46
钟公庙,08:13:41,08:14:11,Class3,96,215.94,0.1
鄞州区政府,08:15:37,08:16:07,Class2,86,228.1,12.16
钱湖南路,08:18:15,08:18:45,Class2,128,215.94,-12.16
南高教园区,08:20:21,08:20:51,Class2,96,215.54,-0.4
下应路,08:22:41,08:23:11,Class2,110,219.02,3.48
大洋江,08:25:02,08:25:32,Class4,111,216.44,-2.58
泗港,08:27:08,08:27:38,Class4,96,217.72,1.28
曹隘,08:29:55,08:30:25,Class4,137,216.34,-1.38
柳隘,08:32:11,08:32:41,Class2,106,216.94,0.6
海晏北路,08:34:13,08:34:43,Class3,92,225.5,8.56
民安东路,08:36:08,08:36:38,Class3,85,219.32,-6.18
会展中心,08:37:54,08:38:24,Class2,76,217.62,-1.7
院士路,08:40:19,08:40:49,Class3,115,220.12,2.5
盎孟港,08:42:17,08:42:47,Class2,88,228.0,7.88
三官堂,08:44:59,08:45:29,Class2,132,215.44,-12.56
兴庄路,08:47:08,08:47:38,Class2,99,218.42,2.98
兴海南路,08:49:05,08:49:35,Class2,87,218.92,0.5
梅堰,08:50:53,08:51:23,Class2,78,215.64,-3.28
永茂路,08:56:21,08:56:51,Class2,298,217.12,1.48
镇海大道,08:59:12,08:59:42,Class2,141,215.64,-1.48
骆驼桥,09:01:44,-,Class3,122,215.34,-0.3
