Name	Arrival	Departure	Mass_t	Class
布政	08:00:00	08:00:00	215.34	-
张家潭	08:01:52	08:02:22	215.34	Class2
同德路	08:04:53	08:05:23	215.34	Class3
石碶	08:07:07	08:07:37	215.44	Class2
雅渡	08:08:57	08:09:27	215.84	Class2
庙堰	08:11:46	08:12:16	215.44	Class4
钟公庙	08:13:49	08:14:19	215.64	Class2
鄞州区政府	08:15:54	08:16:24	216.24	Class4
钱湖南路	08:18:36	08:19:06	221.42	Class3
南高教园区	08:20:46	08:21:16	217.52	Class3
下应路	08:23:06	08:23:36	236.7	Class2
大洋江	08:25:22	08:25:52	216.24	Class3
泗港	08:27:19	08:27:49	216.44	Class2
曹隘	08:29:59	08:30:29	222.9	Class3
柳隘	08:32:17	08:32:47	216.64	Class3
海晏北路	08:34:23	08:34:53	225.1	Class4
民安东路	08:36:18	08:36:48	215.92	Class3
会展中心	08:38:04	08:38:34	216.54	Class2
院士路	08:40:29	08:40:59	217.02	Class3
盎孟港	08:42:35	08:43:05	219.22	Class4
三官堂	08:45:24	08:45:54	216.04	Class3
兴庄路	08:47:38	08:48:08	217.44	Class3
兴海南路	08:49:44	08:50:14	216.24	Class4
梅堰	08:51:32	08:52:02	217.42	Class2
永茂路	08:57:00	08:57:30	217.92	Class2
镇海大道	08:59:51	09:00:21	217.12	Class2
骆驼桥	09:02:17	09:02:17	216.32	Class2
