站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.24,0.0
张家潭,08:01:47,08:02:17,unknown,107,215.24,0.0
同德路,08:04:38,08:05:08,class1,141,215.24,0.0
石碶,08:06:53,08:07:23,unknown,104,215.23999999999995,-0.0
雅渡,08:08:52,08:09:22,unknown,88,215.44,0.2
庙堰,08:11:28,08:11:58,unknown,126,215.44000000000003,0.0
钟公庙,08:13:29,08:13:59,unknown,91,215.44000000000003,0.0
鄞州区政府,08:15:33,08:16:03,unknown,93,215.54,0.1
钱湖南路,08:18:10,08:18:40,unknown,127,216.13999999999987,0.6
南高教园区,08:20:31,08:21:01,unknown,110,216.54,0.4
下应路,08:22:50,08:23:20,unknown,108,216.44000000000003,-0.1
大洋江,08:24:59,08:25:29,unknown,98,216.44000000000003,0.0
泗港,08:26:54,08:27:24,unknown,85,216.13999999999987,-0.3
曹隘,08:29:28,08:29:58,unknown,123,216.44,0.3
柳隘,08:31:39,08:32:09,unknown,101,216.24,-0.2
海晏北路,08:33:36,08:34:06,class2,87,216.1399999999999,-0.1
民安东路,08:35:28,08:35:58,class2,82,216.34000000000003,0.2
会展中心,08:37:20,08:37:50,unknown,81,216.34,-0.0
院士路,08:39:42,08:40:12,unknown,112,215.94000000000003,-0.4
盎孟港,08:41:40,08:42:10,class2,87,215.84000000000003,-0.1
三官堂,08:44:16,08:44:46,unknown,126,215.74,-0.1
兴庄路,08:46:20,08:46:50,class1,94,215.84000000000003,0.1
兴海南路,08:48:29,08:48:59,unknown,98,215.74,-0.1
梅堰,08:50:20,08:50:50,unknown,81,215.74000000000004,0.0
永茂路,08:55:34,08:56:04,unknown,284,215.74,-0.0
镇海大道,08:58:23,08:58:53,unknown,138,215.6399999999999,-0.1
骆驼桥,09:00:54,09:01:24,unknown,121,215.54,-0.1
