station_pair,t_arrival(s),v_peak_opt(m/s),energy(Wh),dwell_time(s)
布政-张家潭,107.0,21.79416181876985,14936.845703125,30.0
张家潭-同德路,141.05,19.70813409674715,18163.59765625,25.0
同德路-石碶,104.7,20.13224504865917,13074.8681640625,40.0
石碶-雅渡,80.85,17.63344257001063,9942.8515625,30.0
雅渡-庙堰,145.6,16.51686762571005,13365.9111328125,20.0
庙堰-钟公庙,92.35,20.175109904452626,12892.1943359375,30.0
钟公庙-鄞州区政府,92.7,16.03646698248174,7414.6396484375,30.0
鄞州区政府-钱湖南路,125.3,21.59168384138367,17632.9296875,30.0
钱湖南路-南高教园区,105.1,15.792217046562312,10177.6953125,30.0
南高教园区-下应路,107.95,21.903632654924863,18500.48828125,30.0
下应路-大洋江,98.1,20.754106188328144,12983.4521484375,30.0
大洋江-泗港,86.0,19.951617031040414,11922.67578125,30.0
泗港-曹隘,136.0,13.102146022077244,17832.98828125,30.0
曹隘-柳隘,101.0,22.147831410116297,16489.326171875,30.0
柳隘-海晏北路,88.45,18.631153571413016,11644.4130859375,30.0
海晏北路-民安东路,80.95,20.737006455360092,13739.625,30.0
民安东路-会展中心,84.65,11.871176003787806,5974.31982421875,30.0
会展中心-院士路,112.15,22.22,14692.189453125,30.0
院士路-盎孟港,86.85,21.75036041291572,15238.05078125,30.0
盎孟港-三官堂,127.05,22.195321848562543,18028.240234375,30.0
三官堂-兴庄路,95.6,17.54995187917412,11573.7294921875,30.0
兴庄路-兴海南路,94.4,14.634544577219271,9124.7431640625,30.0
兴海南路-梅堰,75.0,22.211425242487103,12553.53515625,30.0
梅堰-永茂路,284.0,16.646552674545788,31063.919921875,30.0
永茂路-镇海大道,138.6,22.22,15472.921875,30.0
镇海大道-骆驼桥,114.1,22.22,19051.353515625,30.0
总计,2905.4999999999995,,373487.50537109375,775.0
