station_pair,selected_class,target_time(s),energy(Wh)
布政-张家潭,Class1,107.0,15389.530727215044
张家潭-同德路,Class1,141.0,17816.11329674562
同德路-石碶,Class1,99.0,14433.911877388917
石碶-雅渡,Class1,76.0,12414.50106524093
雅渡-庙堰,Class1,123.0,21594.093790155533
庙堰-钟公庙,Class3,96.0,11961.563754151915
钟公庙-鄞州区政府,Class3,90.0,8754.696121778396
鄞州区政府-钱湖南路,Class1,122.0,18707.05875893546
钱湖南路-南高教园区,Class2,96.0,14517.832185125795
南高教园区-下应路,Class3,114.0,17528.207039806555
下应路-大洋江,Class3,106.0,11408.37434798407
大洋江-泗港,Class2,87.0,11952.056436142102
泗港-曹隘,Class3,130.0,25420.409990675194
曹隘-柳隘,Class3,108.0,14702.619179474008
柳隘-海晏北路,Class1,83.0,13666.170910865252
海晏北路-民安东路,Class4,89.0,10139.180143515672
民安东路-会展中心,Class4,83.0,4969.162933433065
会展中心-院士路,Class1,107.0,14884.569939197643
院士路-盎孟港,Class3,91.0,14855.72289012235
盎孟港-三官堂,Class1,126.0,17990.90273299715
三官堂-兴庄路,Class1,94.0,12133.07642465011
兴庄路-兴海南路,Class4,96.0,7398.019134087212
兴海南路-梅堰,Class1,75.0,12434.679411538034
梅堰-永茂路,Class4,329.0,28745.23843328914
永茂路-镇海大道,Class2,141.0,15609.213935664406
镇海大道-骆驼桥,Class1,111.0,19323.480039899398
