station,t,v,e,dwell
布政-张家潭,126.15,14.800000000000008,10873.495338878383,30.0
张家潭-同德路,165.4,15.000000000000009,11322.170741339476,25.0
同德路-石碶,119.45,14.800000000000008,9718.89599244213,40.0
石碶-雅渡,89.45,13.000000000000009,7109.957230348827,30.0
雅渡-庙堰,145.20000000000002,16.60000000000001,17338.655811796707,20.0
庙堰-钟公庙,105.5,14.000000000000009,8930.91095676192,30.0
钟公庙-鄞州区政府,98.75,13.800000000000008,5687.131804142656,30.0
鄞州区政府-钱湖南路,145.3,16.00000000000001,14317.775950438016,30.0
钱湖南路-南高教园区,110.65,14.200000000000008,8572.594548928326,30.0
南高教园区-下应路,125.9,15.20000000000001,12560.344899256994,30.0
下应路-大洋江,116.65,13.600000000000009,9573.04735660783,30.0
大洋江-泗港,100.4,12.800000000000008,8129.380589846164,30.0
泗港-曹隘,143.45095174675,17.5,18620.10068059816,30.0
曹隘-柳隘,118.7,14.600000000000009,13243.428114577977,30.0
柳隘-海晏北路,100.65,13.200000000000006,7937.882637313221,30.0
海晏北路-民安东路,93.7,12.600000000000009,8221.66618129057,30.0
民安东路-会展中心,87.95,11.000000000000004,4030.654309949945,30.0
会展中心-院士路,126.35,16.60000000000001,11022.542961754938,30.0
院士路-盎孟港,99.5,13.800000000000008,12440.040326187973,30.0
盎孟港-三官堂,151.8,15.600000000000009,14738.155496214116,30.0
三官堂-兴庄路,113.25,12.200000000000006,6533.3643814373845,30.0
兴庄路-兴海南路,99.75,13.000000000000009,6139.336174424918,30.0
兴海南路-梅堰,90.55,12.800000000000008,8443.364159982191,30.0
梅堰-永茂路,344.9743271619259,16.5,26656.842134325077,30.0
永茂路-镇海大道,163.0,16.40000000000001,12540.472364937996,30.0
镇海大道-骆驼桥,133.5,15.600000000000009,13469.863513370618,30.0
