趟次,规划方式,代码预计节能量(kWh),代码预计节能率(%),新版Simu节能量(kWh),新版Simu节能率(%)
1,标准 DP,16.402025,3.860609,5.925604,1.423997
1,Energy First,20.778455,4.890706,8.902412,2.139362
1,停站放宽 5% DP,33.613135,7.911655,21.874034,5.256605
3,标准 DP,15.830453,3.873250,10.058021,2.474751
3,Energy First,37.184883,9.098056,32.637526,8.030383
3,停站放宽 5% DP,21.727543,5.316096,16.885356,4.154600
4,标准 DP,13.842822,3.390806,6.583105,1.628900
4,Energy First,35.629732,8.727521,29.708802,7.351040
4,停站放宽 5% DP,19.782822,4.845813,13.784297,3.410737
5,标准 DP,9.219650,2.274174,6.078757,1.504700
5,Energy First,33.690100,8.310200,30.013589,7.429389
5,停站放宽 5% DP,18.729350,4.619893,14.696488,3.637883
6,标准 DP,18.159025,4.068904,10.690436,2.420590
6,Energy First,21.180535,4.745936,12.689049,2.873127
6,停站放宽 5% DP,38.042675,8.524246,33.368117,7.555400
8,标准 DP,10.550045,2.586022,6.657097,1.648242
8,Energy First,21.849605,5.355765,17.754381,4.395836
8,停站放宽 5% DP,20.585535,5.045916,14.219602,3.520655
10,标准 DP,16.023576,3.906118,8.780569,2.164489
10,Energy First,32.590136,7.944602,26.103310,6.434700
10,停站放宽 5% DP,23.028386,5.613703,15.713125,3.873426
12,标准 DP,11.990265,2.932390,4.129292,1.018963
12,Energy First,23.373145,5.716236,19.148080,4.725070
12,停站放宽 5% DP,21.458455,5.247971,15.263406,3.766470
14,标准 DP,26.782656,6.005399,19.144546,4.336244
14,Energy First,30.343246,6.803780,24.646166,5.582363
14,停站放宽 5% DP,39.229086,8.796227,33.963757,7.692799
15,标准 DP,7.017290,1.740056,1.438453,0.360194
15,Energy First,23.242100,5.763273,17.717074,4.436416
15,停站放宽 5% DP,16.658760,4.130822,10.055491,2.517930
16,标准 DP,24.743004,5.637989,12.583324,2.900833
16,Energy First,25.891174,5.899613,13.244363,3.053222
16,停站放宽 5% DP,44.488184,10.137163,34.502361,7.953826
19,标准 DP,14.419254,3.563268,4.067639,1.015218
19,Energy First,28.112284,6.947072,22.064142,5.506857
19,停站放宽 5% DP,20.904844,5.165979,10.894727,2.719150
21,标准 DP,17.567851,3.897786,11.573855,2.600492
21,Energy First,22.057111,4.893820,17.944274,4.031840
21,停站放宽 5% DP,38.136651,8.461394,34.272064,7.700478
35,标准 DP,17.790672,4.303663,10.539995,2.569063
35,Energy First,28.123482,6.803227,23.052599,5.618939
35,停站放宽 5% DP,27.274612,6.597881,18.283058,4.456391
40,标准 DP,26.729131,6.382685,19.204921,4.619780
40,Energy First,41.409701,9.888278,36.448483,8.767751
40,停站放宽 5% DP,33.665651,8.039066,25.658641,6.172234
42,标准 DP,15.261160,3.358491,24.163460,5.166712
42,Energy First,36.405800,8.011748,47.078579,10.066499
42,停站放宽 5% DP,37.222570,8.191492,48.247428,10.316426
44,标准 DP,18.040020,4.445805,22.963629,5.489215
44,Energy First,29.531890,7.277876,38.480451,9.198349
44,停站放宽 5% DP,23.009200,5.670416,28.412308,6.791665
49,标准 DP,21.209837,4.874657,25.111919,5.627524
49,Energy First,26.017027,5.979494,31.878856,7.143979
49,停站放宽 5% DP,40.970467,9.416243,47.023592,10.537879
50,标准 DP,17.562700,3.964138,26.364945,5.810007
50,Energy First,22.516370,5.082248,32.027611,7.057882
50,停站放宽 5% DP,37.914470,8.557806,47.549558,10.478432
53,标准 DP,3.210884,0.802130,9.352202,2.269489
53,Energy First,5.914414,1.477516,11.194399,2.716533
53,停站放宽 5% DP,17.148724,4.284027,22.740346,5.518375
57,标准 DP,21.819798,4.942040,34.547447,7.610477
57,Energy First,24.790718,5.614934,36.565496,8.055035
57,停站放宽 5% DP,37.914988,8.587494,49.110025,10.818476
60,标准 DP,-14.008064,-3.778648,-0.719970,-0.183399
60,Energy First,0.486196,0.131150,15.567047,3.965425
60,停站放宽 5% DP,-12.993004,-3.504837,2.276126,0.579802
62,标准 DP,19.680013,4.368904,14.153219,3.166285
62,Energy First,33.104353,7.349067,29.597467,6.621392
62,停站放宽 5% DP,38.665953,8.583725,36.084046,8.072536
66,标准 DP,18.214061,4.068861,13.290637,2.999048
66,Energy First,23.391131,5.225372,19.097999,4.309486
66,停站放宽 5% DP,38.869881,8.683189,34.659475,7.820952
67,标准 DP,9.334954,2.070091,1.316577,0.294827
67,Energy First,31.082414,6.892742,24.943060,5.585612
67,停站放宽 5% DP,31.746844,7.040084,26.304719,5.890534
