趟次,场景,场景名称,区间序号,区间,选定等级,规划用时(s),生成曲线用时(s),曲线与规划时间差(s),重量(t),代码规划能耗(kWh),Simu物理机械能耗(kWh),Simu-代码(kWh),Simu相对代码误差(%)
1,standard_dp,规划后：标准 DP,1,布政-张家潭,class3,115.0,115.0,0.0,215.24,12.947629999999998,12.909928848727692,-0.03770115127230689,-0.2911818709084743
1,standard_dp,规划后：标准 DP,2,张家潭-同德路,class4,158.9,158.95000000000002,0.05000000000001137,215.24,16.531830000000003,16.405734538180624,-0.12609546181937858,-0.7627435185298818
1,standard_dp,规划后：标准 DP,3,同德路-石碶,class3,109.0,108.95,-0.04999999999999716,215.44,13.15526,13.035563276010295,-0.11969672398970488,-0.9098772961515385
1,standard_dp,规划后：标准 DP,4,石碶-雅渡,class3,82.0,82.0,0.0,215.74,11.5039,12.429181587253032,0.925281587253032,8.04319915205306
1,standard_dp,规划后：标准 DP,5,雅渡-庙堰,class3,131.9,131.95000000000002,0.05000000000001137,215.84,19.88385,20.007870992668867,0.12402099266886779,0.6237272594033237
1,standard_dp,规划后：标准 DP,6,庙堰-钟公庙,class3,96.0,95.95,-0.04999999999999716,216.34,12.61624,12.78329845011734,0.16705845011733977,1.3241540278033692
1,standard_dp,规划后：标准 DP,7,钟公庙-鄞州区政府,class3,90.0,90.0,0.0,217.1,10.446309999999999,11.227449377299198,0.7811393772991995,7.477658400901367
1,standard_dp,规划后：标准 DP,8,鄞州区政府-钱湖南路,class2,128.0,127.95,-0.04999999999999716,217.0,18.69662,17.736372950472862,-0.9602470495271369,-5.1359392741957475
1,standard_dp,规划后：标准 DP,9,钱湖南路-南高教园区,class3,100.0,100.05,0.04999999999999716,217.11,13.74264,14.04964062218923,0.3070006221892303,2.2339275582364837
1,standard_dp,规划后：标准 DP,10,南高教园区-下应路,class2,110.0,110.0,0.0,217.9,21.11561,20.067389787062453,-1.0482202129375473,-4.964195743990097
1,standard_dp,规划后：标准 DP,11,下应路-大洋江,class2,101.0,101.0,0.0,218.5,13.61722,13.689386405352716,0.07216640535271601,0.52996430514243
1,standard_dp,规划后：标准 DP,12,大洋江-泗港,class3,92.0,92.0,0.0,219.2,10.96347,11.333779374270767,0.37030937427076793,3.377665777995178
